source_data,batch_id,major_job_id,priority
बाईं तरफ़ को मुड़ोगे तो तुम्हें डाक घर नज़र आएगा।,299,3,medium
जब लोग उसके खिलाफ़ जातें हैं तो वह गुस्सा हो जाता है।,299,3,medium
मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।,299,3,medium
हड़ताल करने वालों ने अपने-आप ही हड़ताल बंद कर दी।,299,3,medium
मैं आज घर साफ़ करने के बजाय सैर करने जाऊँगी।,299,3,medium
हमे पेट्रोल पम्प ढूँढना चाहिए क्योंकि गाड़ी में पेट्रोल खतम होने वाला है।,299,3,medium
मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?,299,3,medium
ऐसे नतीजे के लिए तुम्हारे माता-पिता पर दोष नहीं डाला जा सकता।,299,3,medium
मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।,299,3,medium
मैं अपनी दादी से हफ़्ते में दो बार मिलने जाता हूँ।,300,3,medium
मैं जो भी कहता हूँ वह मेरा यकीन कर लेता है।,300,3,medium
पीछे बैठे हुए लोगों के लिए थोड़ी ऊँची आवाज़ में बोलो।,300,3,medium
मैंने पिछली बार जब चार्ली को देखा था वह एक छोटा सा बच्चा था।,300,3,medium
अगर ऐसी बात है तो मैं पुलिस को फ़ोन मिलाता हूँ।,300,3,medium
जब आपने अखबार पढ़ लिया हो तो मुझे दे दीजिएगा।,300,3,medium
मुझे परीक्षा की तैयारी करने के लिए कम-से-कम दस घंटे लगेंगे।,300,3,medium
तुम शहर के इस हिस्से को अच्छी तरह से जानते हो क्या?,300,3,medium
मेरी प्यारी सी नन्ही सी बिल्ली एक हफ़्ते से गायब है।,300,3,medium
अगर कुछ हो भी जाता है तो मैं कोई-न-कोई जुगाड़ कर लूँगा।,300,3,medium
जब उसके पति की मौत हो गई उसने सारी उम्मीद छोड़ दी।,301,3,high
"चाहे जितनी भी ज़ोर से बारिश हो, हम कल निकल चलेंगे।",301,3,high
मुझे अपनी घड़ी ठीक करनी है। धीरे चल रही है।,301,3,high
"तुम्हें जीने दूँ या मरने दूँ, यह मेरे ऊपर है।",301,3,high
उसने मुझे चिट्ठी का जवाब न देने के लिए डाँटा।,301,3,high
"वह बगीचे में है, गुलाब के फूल लगा रही है।",301,3,high
वह बूढ़ा आदमी आँखें बंद करके कुरसी में बैठा था।,301,3,high
तुम्हे इस किताब का अनुवाद करने में कितना समय लगा?,301,3,high
कम्पनी ने उसकी सेवाओं की पहचान में उसे सोनी की घड़ी दी।,301,3,high
मैंने किसी को पीछे से मेरे नाम पुकारते हुए सुना।,301,3,high
तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।,302,3,high
यह कॉफ़ी इतनी गरम है कि मुझसे पी नहीं जा रही है।,302,3,high
मुझे नहीं पता मैं उनपर कितना भरोसा कर सकता हूँ।,302,3,high
मुझे नहीं पता मैं उनपर किस हद तक भरोसा कर सकता हूँ।,302,3,high
मैंने ट्रेन स्टेशन से निकलने के समय एक आदमी को देखा।,302,3,high
हम मर्दों को औरतों का इंतेज़ार करने की आदत है।,302,3,high
"तुम ग़लत तो ज़रूर हो, पर मैं इसके लिए तुम्हें दोषी भी नहीं ठहरा सकता।",302,3,high
सैम अठारह साल की उम्र में आर्मी में भर्ती हुआ था।,302,3,high
डिक ने वादा किया कि वह तीन बजे से पहले वापस आ जाएगा।,302,3,high
"कुछ लोगों को बिल्लियाँ अच्छी लगतीं हैं, कुछ लोगों को कुत्ते।",302,3,high
"यह घर किराय वाला वाला है, बिकने वाला नहीं है।",303,3,high
ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।,303,3,high
"हमने फिरसे करने की कोशीश की, पर नहीं कर पाए।",303,3,high
वह एक महान कवि ही नहीं बल्कि एक डॉक्टर भी थे।,303,3,high
अगर वे एक और मिनट जल्दी पहुँचा होता तो उनकी बस छूट नहीं गई हुई होती।,303,3,high
मैंने उसे एक-दो मिनट पहले टॉयलेट में जाते हुए देखा था।,303,3,high
अगर तुम्हे परीक्षा पास करनी है तो मन लगाकर काम करना होगा।,303,3,high
सोच रही हूँ उसकी दी हुई तस्वीर को कहाँ टाँगा जाए।,303,3,high
ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।,303,3,high
उसने अच्छा किया कि उस नौकरी को हाँ कर दिया।,303,3,high
मुझे अपने पिता की ग़रीबी पर शर्म नहीं आती है।,304,3,high
उन्होंने ने मुझसे टूटी हुई खिड़की के लिए पैसे माँगे।,304,3,high
तुम मेरा राज़ जानना चाहते हो? बहुत ही आसान है...,304,3,high
राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।,304,3,high
उसने अपनी जान को जोखिम में डालकर मेरी जान बचाई।,304,3,high
उन दिनों में सफ़र करना बहुत मुश्किल हुआ करता था।,304,3,high
तुम्हे पक्का मालूम है कि वह समय पर आ रही है?,304,3,high
क्या आप मुझे बता सकते हैं कि यह किस नाप का है?,304,3,high
मेरी अक्सर मेरे भाई के साथ बराबरी करी जाती है।,304,3,high
मैंने उसके रोने की याद को भुला देने की कोशिश करी।,304,3,high
तुम्हारी उम्र के लोगों को अक्सर इस तरह की दिक्कत होती है।,305,3,low
तुम्हे स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है?,305,3,low
"हाँ शायद मैं दुखी हूँ, पर मुझे अपनी जान लेने का इरादा नहीं है।",305,3,low
असलियत में उसकी नाकामयाबी उसकी लापरवाही की वजह से थी।,305,3,low
मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।,305,3,low
किसी कम्पनी को चलाना उसके मालिक बनने से फ़र्क होता है।,305,3,low
मैं जब ताईवान में था तब उसके साथ दोस्त बन गया।,305,3,low
"तुम्हारी उम्र जितनी बड़ी होती है, तुम्हारे लिए कोई भाषा सीखना उतना ही कठिन होता है।",305,3,low
तुम हर काम केवल अपनी मर्ज़ी से ही नहीं कर सकते।,305,3,low
अगर तुम मूर्ख की तरह व्यवहार करोगे तो तुम्हारे साथ मूर्ख की तरह का व्यवहार ही होगा।,305,3,low
तुम अच्छी और बुरी अंग्रेज़ी में कैसे अंतर कर सकते हो?,306,3,low
"बहुत सारे शब्दों को उनकी वर्तनी के हिसाब से पढ़ा जाता है, पर कुछ शब्दों को ऐसे नहीं पढ़ा जाता है।",306,3,low
"जो आज खतम कर सकते हो, उसे करके निपटाओ। कल के लिए मत छोड़ो।",306,3,low
मुझे किताबें पढ़ने से बिलकुल भी आनन्द नहीं आता था।,306,3,low
तुम कल रात रेडियो को बंद करना भूल गए थे ना?,306,3,low
वह हमेशा यहाँ पाँच से छः बजे के बीच होता है।,306,3,low
लगता है कि बारिश होगी। तुम्हे छाता लेकर जाना चाहिए।,306,3,low
पता नहीं क्यों मुझे रात में ज़्यादा ज़िन्दा महसूस होता है।,306,3,low
जंग के समय में हमे चीनी के बिना ही काम चलाना पड़ा।,306,3,low
"वह जहाँ भी जाता है, उसका कुत्ता उसके पीछे पीछे जाता है।",306,3,low
मैं बस स्कूल पहुँचा ही था कि घंटी बज गई।,307,3,low
मकान की बात तो छोड़ो वह तो गाड़ी भी नहीं ख़रीद सकता।,307,3,low
मैं मुसीबत के समय में हमेशा उसपर भरोसा करती हूँ।,307,3,low
"मुझे उसका पता पता है, पर वह एक राज़ है।",307,3,low
मेरे पिता ने मुझसे बिस्तर में किताबें पढ़ने से मना किया।,307,3,low
आप ये किताबें पुस्तकालय से एक हफ़्ते के लिए ले सकते हैं।,307,3,low
उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।,307,3,low
उसकी खिड़की के बाहर इतना शोर हो रहा था कि वह सो नहीं पा रहा था।,307,3,low
उसने खिड़की को बंद कर दिया क्योंकि उसको बारिश होने का डर था।,307,3,low
नई सरकार ने देश को भ्रष्टाचार से मुक्त करने का वादा किया।,307,3,low
फ़्रेंच तो छोड़ो वह तो अंग्रेज़ी भी नहीं बोल सकता।,308,3,low
आप किसी को बिस्तर बनाने के लिए भेज सकते हैं क्या?,308,3,low
उसकी जान-पहचान में तो बहुत लोग थे पर दोस्त कोई भी नहीं थे।,308,3,low
उसने अपने दुख को अपनी मुस्कुराहट के पीछे छिपा लिया।,308,3,low
उसने अपनी नाकामयाबी के लिए अपने बुरे नसीब को दोषी ठहराया।,308,3,low
मुझे बताओ तुम किस चीज़ की आशा कर रहे हो।,308,3,low
