source_data,batch_id,major_job_id,priority
ಈ ವಿಷಯವನ್ನು ಯಾರಿಗಾದರೂ ಹೇಳಿದರೆ ತನ್ನನ್ನೂ ಕೊಲೆ ಮಾಡುವುದಾಗಿ ಬೆದರಿಕೆ ಹಾಕಿದ್ದರು ಎಂದು ತಿಳಿಸಿದ್ದಾಳೆ.,374,4,low
ಇವು ಟೈಟ್ಸ್ ಗೆ ಸಮನಾಗಿದ್ದು ಸಾಮಾನ್ಯವಾಗಿ ಎಲಾಸ್ಟಿಕ್ ಬ್ಯಾಂಡ್ ಇರುವುದರಿಂದ ಧರಿಸಲು ಆರಾಮದಾಯಕವಾಗಿರುತ್ತದೆ.,374,4,low
"ಇದುವರೆಗೂ ಯಾವುದೇ ಬಂಧನ ನಡೆದಿಲ್ಲ. ಪ. ಬಂಗಾಳದಲ್ಲಿ ತೀವ್ರಗೊಂಡ ಗವರ್ನರ್‌, ದೀದಿ ಸಂಘರ್ಷ.",374,4,low
ಬಾಲಿವುಡ್‌ ನಟ ಸುಶಾಂತ್ ಸಿಂಗ್ ರಜಪೂತ್ ಕಳೆದ ಜೂನ್‌ 14ರಂದು ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡರು.,374,4,low
﻿New Year 2021 Quotes: ಇಲ್ಲಿದೆ ಹೊಸ ವರ್ಷಕ್ಕೆ ನಿಮ್ಮ ಪ್ರೀತಿಪಾತ್ರರಿಗೆ ಕಳುಹಿಸುವಂತಹ ಶುಭ ಸಂದೇಶಗಳು,374,4,low
ಮಹಿಳೆಯರಿಗೆ ಲೈಂಗಿಕ ಸಮಯದಲ್ಲಿ ಅಥವಾ ನಂತರ ಯೋನಿ ಅಥವಾ ಸೊಂಟದ ಪ್ರದೇಶದಲ್ಲಿ ನೋವು ಕಾಣಿಸಿಕೊಳ್ಳಬಹುದು.,374,4,low
"ಇವರಲ್ಲಿ ಇಲ್ಲಿಯವರೆಗೆ ಒಟ್ಟಾರೆ 26 ಜನರು ಗುಣಮುಖರಾಗಿ ಆಸ್ಪತ್ರೆಯಿಂದ ಬಿಡುಗಡೆಯಾಗಿದ್ದು, ಒಬ್ಬರು ಮೃತಪಟ್ಟಿದ್ದಾರೆ.",374,4,low
"ನನ್ನ ವಿದ್ಯಾಭ್ಯಾಸಕ್ಕೆ ಸಹಕಾರ ಕೊಟ್ಟ ತಂದೆ, ತಾಯಿ, ಶಿಕ್ಷಕ ವೃಂದಕ್ಕೆ ಧನ್ಯವಾದಗಳನ್ನು ತಿಳಿಸುತ್ತೇನೆ ಎಂದರು.",375,4,medium
"A post shared by Kareena Kapoor Khan (@therealkareenakapoor) on Mar 4, 2020 at 7:14pm PST",375,4,medium
ಪ್ರತಿ ವರ್ಷ ಮಾರ್ಚ್‌ ತಿಂಗಳ 8 ರಂದು ಅಂತರರಾಷ್ಟ್ರೀಯ ಮಹಿಳಾ ದಿನ ಆಚರಣೆ ಮಾಡಲಾಗುತ್ತದೆ.,375,4,medium
ಈ ವರ್ಷ ನವರಾತ್ರಿ ಹಬ್ಬ ಅಕ್ಟೋಬರ್ 17 ರಿಂದ ಪ್ರಾರಂಭವಾಗಿದ್ದು 25 ರವರೆಗೂ ಮುಂದುವರೆಯುತ್ತದೆ.,375,4,medium
ಮಹಿಳೆ ಒಮ್ಮೆ ಗರ್ಭ ಧರಿಸಿದ ನಂತರ ಮಗುವಿನ ಸ್ಥಿರತೆಗಾಗಿ ಆಕೆ ಈಶಾನ್ಯ ಮೂಲೆಯಿಂದ ನೈಋತ್ಯ ದಿಕ್ಕಿಗೆ ಮಲಗಬೇಕು.,375,4,medium
Karnataka 10th Result 2020: ಕರ್ನಾಟಕ SSLC ಪರೀಕ್ಷೆ ಫಲಿತಾಂಶ ಪ್ರಕಟ; ಚೆಕ್‌ ಮಾಡಲು ಲಿಂಕ್ ಇಲ್ಲಿದೆ. .,375,4,medium
ಭಗವಂತನು ನಿಮಗೆ ಉತ್ತಮ ದೀರ್ಘಾಯುಷ್ಯ ನೀಡಿ ಕರುಣಿಸಲಿ ಎಂದು ಹಾರೈಸುತ್ತೇನೆ ಎಂದು ಟ್ವೀಟ್‌ ಮಾಡಿದ್ದಾರೆ.,375,4,medium
ಗೂಗಲ್ ಪ್ಲೇ ಸ್ಟೋರ್ ಮತ್ತು ಆಪ್ ಸ್ಟೋರ್ ಮೂಲಕ ವಾಟ್ಸಪ್ ಅಪ್‌ಡೇಟ್ ಮಾಡಿಕೊಂಡು ಈ ಫೀಚರ್ ಬಳಸಬಹುದು.,375,4,medium
"ಚಿತ್ರದ ಹಾಡುಗಳಿಗೆ ಜಸ್ಟಿನ್ ಪ್ರಭಾಕರ್ ಸಂಗೀತ ನೀಡಲಿದ್ದು, ರಾಧಕೃಷ್ಣ ಕುಮಾರ್ ನಿರ್ದೇಶನ ಮಾಡುತ್ತಿದ್ದಾರೆ.",375,4,medium
ಈ ಬಗ್ಗೆ ರಾಜ್ಯ ಸರಕಾರ ಗಂಭೀರ ಕ್ರಮಕ್ಕೆ ಮುಂದಾಗಿದೆ ಎಂದು ಸಚಿವರು ತಿಳಿಸಿದರು.,375,4,medium
"ಬಾರ್‌, ಕ್ಲಬ್‌ಗಳಲ್ಲಿಯೂ ಬೆಳಗ್ಗೆ 9 ರಿಂದ ಸಂಜೆ 7 ಗಂಟೆಯವರೆಗೆ ಮಾತ್ರ ಮದ್ಯ ಮಾರಾಟಕ್ಕೆ ಅವಕಾಶ ನೀಡಲಾಗಿದೆ.",376,4,medium
"ಆದರೆ, ತಾವೂ ಬೆಳೆದ ಕೃಷಿ ಉತ್ಪನ್ನಗಳಿಗೆ ಇಡೀ ಗ್ರಾಮವೇ ಪೇಟೆಂಟ್‌ ಪಡೆದಿರುವುದನ್ನು ಕೇಳಿದ್ದೀರಾ. . ?",376,4,medium
ಆರೋಪಿಗಳ ಮೇಲೆ ಕ್ರಮ ಕೈಗೊಂಡು ಪ್ರಕರಣ ದಾಖಲಿಸಿ ವಾಹನಗಳನ್ನು ಜಪ್ತ ಮಾಡಲು ಎಸಿಎಫ್‌.,376,4,medium
ಇದಾದ ನಂತರ ಮಗುವನ್ನು ಪೋಷಕರು ಸಾರ್ವಜನಿಕ ಆಸ್ಪತ್ರೆಗೆ ಕರೆದುಕೊಂಡು ಹೋಗಿದ್ದಾರೆ ಅಲ್ಲಿಯೂ ಮಗು ಸಾವನ್ನಪ್ಪಿದೆ ಎಂದು ವೈದ್ಯರು ಹೇಳಿದ್ದಾರೆ.,376,4,medium
"ಐಪಿಸಿ 153, 505(1) ಬಿ ಅಡಿಯಲ್ಲಿ ಪೇಟೆ ಠಾಣೆ ಪೊಲೀಸರು ಪ್ರಕರಣ ದಾಖಲಿಸಿದ್ದಾರೆ.",376,4,medium
