source_data,batch_id,major_job_id,priority
"Most marriages in Zimbabwe are customary rather than legal unions that, if ended by divorce or death, leave the women empty handed.",187,2,medium
"The Mongols conquered the world with this trick by drinking a fermented horse mare milk called kumis, also called airag.",187,2,medium
The sooner you realize that the solar minimums and solar maximums influence your health more than citizens are told the better.,187,2,medium
"The Mongols conquered the world with this trick by drinking a fermented horse mare milk called kumis, also called airag.",187,2,medium
"She did her A-levels at her school's sixth form, while he did his in evening classes at an FE college.",187,2,medium
"When one part of an object is on fire, other parts of that object tend to light on fire as well.",187,2,medium
All it takes is putting a steering wheel in the hands of a Portuguese guy to make an ass out of him.,187,2,medium
"I know that it feels good to win, but try to pull your punches next time you play checkers with your brother.",187,2,medium
"He's five years younger than you, and he'll want to stop learning to play if he gets beaten every time.",187,2,medium
In the middle of the terrace was a small ivory bed covered in lynx skin with pillows made of parrot feathers.,188,2,medium
"The slogan ""housing is a right - not a commodity"" doesn't at all mean that everyone must have ownership of a property.",188,2,medium
"The bull does not strike with the head because he has horns, but he has horns because he wants to strike.",188,2,medium
He then ordered that I move his body to Virginia and that he be laid in an open coffin in a tomb.,188,2,medium
"""We’re going to dress the two of you up as girls,"" he continued, ""so that maybe they won’t fire on you.""",188,2,medium
"Dom Flemons is a multi-instrumentalist, he plays banjo, guitar, harmonica, fife, bones, bass drum, snare drum and quills, in addition to singing.",188,2,medium
Analysts say the bomb was disguised as a printer toner cartridge and was detected only because of an intelligence tip.,188,2,medium
"Ghana has started building seawalls at key points along its shore to stop coastal erosion and protect beaches, communities and historic buildings.",188,2,medium
"Workers examine new machinery in use at the pioneering mega-farm at Boukanga Lonzo park in Democratic Republic of Congo, Aug 8, 2015.",188,2,medium
MLC Insurance found Friday that Smith had a “total and permanent disablement” because of the concussions suffered during his athletic career.,188,2,medium
"A common complaint for busy, stressed out people is not being able to find the time and place to unwind.",189,2,high
"However, I'll say no more about it today, except to mention that we'll come back to this topic on Friday.",189,2,high
"As more and more documents began to clog its servers, Wikileaks abandoned it's all-access-posting rule in favor of requesting submissions from leakers.",189,2,high
"At least that is the premise of a global gathering of scientists, government representatives and innovators in Senegal this week.",189,2,high
Some of these cellular modifications also include changes to the membranes that envelop the microbe and protect it from its hostile environment.,189,2,high
"To learn his lesson, he gets trapped in time and has to relive the same Groundhog Day over and over and over.",189,2,high
"The fires are out, millions of dollars are being pledged, and the political will is there to begin restoring Notre Dame.",189,2,high
Military officials in Myanmar’s Rakhine state announced charges Wednesday against a news website accused of sowing distrust in the military.,189,2,high
"The eggs differ from those of the Blackcap and Garden Warbler in being white, spotted, chiefly at the larger end, with ash-grey.",189,2,high
"Even so, she says broaching thorny sexual topics in a region as culturally diverse as south Florida is no easy task.",189,2,high
"The small Southeast Asian nation Laos has for the first time held the Southeast Asian Games, gaining prestige and an economic boost.",190,2,high
Red Square and other Moscow landmarks are being visited by World Cup fans doing a bit of sightseeing between matches.,190,2,high
"Erdogan’s frequent complaint about an anti-Turkish foreign conspiracy risks turning into a self-fulfilling prophecy, warn some analysts and Western diplomats.",190,2,high
"Japan has little to no army on paper, but it has a lot of camps what are strangely similar to military bases.",190,2,high
"If the body is a temple, then my body is a broken hut made of cardboard, branches and empty bottles.",190,2,high
"In Russian, ""love"" and ""blood"", ""night"" and ""help"", ""roses"" and ""frost"", and so on are all good examples of hackneyed rhymes.",190,2,high
"The two old women rose from the bed, and crouching over the fire, held out their withered hands to catch the heat.",190,2,high
"Your idea is pretty good, but I think you need to fully flesh it out before putting it into action.",190,2,high
"Topaz is a fairly hard gemstone, but it can break with relatively little force if you strike it at the right angle.",190,2,high
"This percentage is the same number as psychopaths and narcissists in the general public, for they turn off their mirror nerves (empathy).",190,2,high
Every stupid human thinks progress is clearing the land when it is actually denuding the land and destroying an ecosystem.,191,2,high
The Volga German settlers may have Turanian blood in their veins from intermixing with the many peoples in the Volga river region.,191,2,high
When decorating our new house my girlfriend kept giving me hypernyms instead of specifics like actual colors or tile types.,191,2,high
"The phloem, composed of sieve elements cells which connect to form a tube, conducts food and water both ways in a plant.",191,2,high
The lovely and ample Muslim woman blushed when I let known my infatuation and tellingly her face turned a soft pink color.,191,2,high
"My girlfriend Aisha's uncle Haziq was a popinjay, always wearing brightly-colored suits with neon handkerchiefs falling out of his pockets.",191,2,high
I got my second wind for studying after walking to the general store for coffee and a roast beef sandwich.,191,2,high
"In Toki Pona, the grammatical particle ""li"" indicates that whatever word comes after it is being used as a verb.",191,2,high
One of the largest phosphate mines on the planet is located in Western Sahara but it's illegally plundered by Morocco.,191,2,high
Ziri kissed Rima on the mouth to let her know that he had been in love with her all those years.,191,2,high
"The best part of working as a team is that if something goes wrong, you can always blame someone else for it.",192,2,high
"I pray to God that you have a day full of love and happiness — but above all, full of blessings.",192,2,high
"During the Middle Ages, the very north of the Iberian Peninsula was Christian whereas the center and the south were Muslim.",192,2,high
Morocco decided to close its land borders with Spain following Brahim Ghali's visit to the latter to receive medical treatment for Covid-19.,192,2,high
"The president of the provisional government of Kabylia, Mr. Ferhat Mhenni, is fighting for the rights of the Kabyle people.",192,2,high
"Mr. Hoffman also planted asparagus around a tree at its drip line, the area below the outer limit of the branches.",192,2,high
Commission chair Yasmin Sooka says South Sudan is a country where lives are being destroyed by financial corruption on an epic scale.,192,2,high
Henry Ridgwell reports from the summit in Glasgow on whether distrust between richer and poorer nations could hamper climate negotiations.,192,2,high
"There's a debate about social disparity throughout Japan, but if you look at the world, this level of disparity is negligible.",192,2,high
"I have read The Tale of Genji, but cannot understand why it's much talked of as the greatest Japanese literature.",192,2,high
Prime Minister Berlusconi decided to take the foreign portfolio in his government following the resignation of Renato Ruggiero on Saturday.,193,2,low
It is incomprehensible to us that a country with that level of technology would even think of making an automobile.,193,2,low
"Cell phones have become status symbols, signs of prosperity, and one of the most noticeable examples of conspicuous consumption in North Korea.",193,2,low
"In fact, the absorption enhancement that we see is in the range of 20 to 50 times the single-pass absorbance.",193,2,low
"Services this year in battle-worn areas were often sparse amid growing numbers of deaths, injuries and families fleeing their homes.",193,2,low
"He's going to drive down from Connecticut for the day, and we are going to go to that Russian poster exhibit.",193,2,low
"If I can finish this book this year, I can get a promotion and finally move on with my life.",193,2,low
"The office is freezing cold, so I wear a sweater every day and have a space heater, even in the summer.",193,2,low
"There seems to be very little research on parents who have ADHD, and the effects their behaviors have on their non-ADHD children.",193,2,low
"When my kids ask me what my favorite food is, I always say coffee, even though it isn't a food.",193,2,low
Investigators found that they intentionally put crappy batteries in our phones so we have to replace them more often -- bastards!,194,2,low
"I like wearing Chuck Taylors because they have virtually no instep, and as a flat-footed person they're great for me.",194,2,low
"She thinks that having a baby in her twenties would be a social stigma in the city, and maybe she's right.",194,2,low
"They gave me a fob to easily sign out the kids from school, and I put it on my keychain.",194,2,low
"Kimchi is so healthy and delicious, but I have to eat it when Tom's not home, because he thinks it stinks.",194,2,low
"We could take the morning boat ride, because it will be less busy and there won't be drunk people on it.",194,2,low
"I asked Tom to help make photocopies, but he tends to thumb his nose at jobs he thinks are ""women's work.""",194,2,low
"I saw a tapir in the zoo, and it is one of those animals that is so ugly, it is cute.",194,2,low
"The race cars go around and around, and when they need a quick tire change, they pull in for a pit stop.",194,2,low
Ziri was sitting in the classroom and Rima walked up to him and asked him to help her with her assignment.,194,2,low
"As if having Ziri in my class wasn't bad enough, I found out that he was the son of the mayor.",195,2,low
"The term ""arduous march"" was used by the authoritarian regime to describe a famine that killed millions of people in the 1990s.",195,2,low
"She spent hours alone, absorbed in contemplating the incessant hustle and bustle of the ants in the ant mound behind the house.",195,2,low
"After more than three decades together, Kay and Arnold are in a rut with the same routine day after day.",195,2,low
"If you'll let me say so myself, I think the yukata I sewed through copying someone else turned out quite a success.",195,2,low
But U.S. hog farmers are struggling to survive even as many Americans search in vain for their favorite cuts of pork.,195,2,low
Most Congo-watchers predicted chaos would ensue as the sprawling nation voted in Sunday’s long-delayed general election — and they were right.,195,2,low
A mystery bag that's priced at 25000 yen but contains items individually priced at over 50000 yen seems like such a steal.,195,2,low
I'd love to buy it for you but I still haven't had my pay check and I have no money left over.,195,2,low
We're lucky to live in an era where we don't have to rely on toxic pigments like vermilion or Paris green.,195,2,low
Researchers at the University of Maryland say a fiery phenomenon called blue whirl could someday help clean up oil spills on water.,196,2,low
"Late last week, residents in Wenzhou, China, awoke to find the river running through their city a crimson shade of red.",196,2,low
"Before the well-known New Zealand short story writer would've closed the sentence with a period, Mary quickly sneaked to Tom into it.",196,2,low
This documentary talks about the role played by the expansion of the Roman Empire in the formation of the Romance languages.,196,2,low
"Rima was so happy to have Skura out of her way, but much to her disappointment, Ziri never asked her out.",196,2,low
